mode,k,q,op,key_index,sample_index,nanoseconds
tensor_reference,8,37,verify,1,4,21336
tensor_reference,8,37,verify,1,5,20179
tensor_reference,8,37,verify,1,6,20124
tensor_reference,8,37,verify,1,7,21395
tensor_reference,8,37,verify,1,8,21377
tensor_reference,8,37,verify,1,9,21336
tensor_reference,8,37,verify,1,10,21381
tensor_reference,8,37,verify,1,11,21269
tensor_reference,8,37,verify,1,12,21335
tensor_reference,8,37,verify,1,13,21346
tensor_reference,8,37,verify,1,14,21355
tensor_reference,8,37,verify,1,15,21331
tensor_reference,8,37,verify,1,16,21283
tensor_reference,8,37,verify,1,17,21363
tensor_reference,8,37,verify,1,18,21375
tensor_reference,8,37,verify,1,19,20248
tensor_reference,8,37,verify,1,20,20230
tensor_reference,8,37,verify,1,21,21332
tensor_reference,8,37,verify,1,22,20107
tensor_reference,8,37,verify,1,23,34051
tensor_reference,8,37,verify,1,24,20778
tensor_reference,8,37,verify,1,25,20798
tensor_reference,8,37,verify,1,26,20718
tensor_reference,8,37,verify,1,27,18504
tensor_reference,8,37,verify,1,28,19550
tensor_reference,8,37,verify,1,29,20842
tensor_reference,8,37,verify,1,30,20726
tensor_reference,8,37,verify,1,31,20715
tensor_reference,8,37,verify,1,32,19612
tensor_reference,8,37,verify,1,33,19635
tensor_reference,8,37,verify,1,34,20755
tensor_reference,8,37,verify,1,35,22967
tensor_reference,8,37,verify,1,36,20758
tensor_reference,8,37,verify,1,37,20793
tensor_reference,8,37,verify,1,38,20834
tensor_reference,8,37,verify,1,39,20796
tensor_reference,8,37,verify,2,0,20153
tensor_reference,8,37,verify,2,1,20310
tensor_reference,8,37,verify,2,2,22120
tensor_reference,8,37,verify,2,3,20407
tensor_reference,8,37,verify,2,4,20227
tensor_reference,8,37,verify,2,5,20296
tensor_reference,8,37,verify,2,6,20298
tensor_reference,8,37,verify,2,7,20305
tensor_reference,8,37,verify,2,8,20303
tensor_reference,8,37,verify,2,9,20240
tensor_reference,8,37,verify,2,10,20374
tensor_reference,8,37,verify,2,11,20249
tensor_reference,8,37,verify,2,12,19132
tensor_reference,8,37,verify,2,13,20328
tensor_reference,8,37,verify,2,14,20290
tensor_reference,8,37,verify,2,15,20238
tensor_reference,8,37,verify,2,16,20285
tensor_reference,8,37,verify,2,17,19149
tensor_reference,8,37,verify,2,18,20334
tensor_reference,8,37,verify,2,19,20219
tensor_reference,8,37,verify,2,20,20223
tensor_reference,8,37,verify,2,21,19172
tensor_reference,8,37,verify,2,22,19165
tensor_reference,8,37,verify,2,23,20204
tensor_reference,8,37,verify,2,24,20278
tensor_reference,8,37,verify,2,25,20174
tensor_reference,8,37,verify,2,26,20230
tensor_reference,8,37,verify,2,27,20207
tensor_reference,8,37,verify,2,28,20237
tensor_reference,8,37,verify,2,29,20271
tensor_reference,8,37,verify,2,30,19123
tensor_reference,8,37,verify,2,31,20184
tensor_reference,8,37,verify,2,32,18045
tensor_reference,8,37,verify,2,33,19125
tensor_reference,8,37,verify,2,34,20289
tensor_reference,8,37,verify,2,35,20284
tensor_reference,8,37,verify,2,36,20241
tensor_reference,8,37,verify,2,37,20305
tensor_reference,8,37,verify,2,38,20366
tensor_reference,8,37,verify,2,39,32588
tensor_reference,16,67,keygen,0,0,2717834
tensor_reference,16,67,keygen,0,1,2702267
tensor_reference,16,67,keygen,0,2,2645167
tensor_reference,16,67,keygen,0,3,2591401
tensor_reference,16,67,keygen,0,4,2596984
tensor_reference,16,67,keygen,0,5,2628385
tensor_reference,16,67,keygen,0,6,2608313
tensor_reference,16,67,keygen,0,7,2633757
tensor_reference,16,67,keygen,0,8,2636868
tensor_reference,16,67,keygen,0,9,2622887
tensor_reference,16,67,keygen,0,10,2661018
tensor_reference,16,67,keygen,0,11,2670242
tensor_reference,16,67,keygen,0,12,2649738
tensor_reference,16,67,keygen,0,13,2727911
tensor_reference,16,67,keygen,0,14,2680433
tensor_reference,16,67,keygen,0,15,2681472
tensor_reference,16,67,keygen,0,16,2723563
tensor_reference,16,67,keygen,0,17,2660887
tensor_reference,16,67,keygen,0,18,2638170
tensor_reference,16,67,keygen,0,19,2631352
tensor_reference,16,67,keygen,1,0,2635010
tensor_reference,16,67,keygen,1,1,2566216
tensor_reference,16,67,keygen,1,2,2617253
tensor_reference,16,67,keygen,1,3,2635588
tensor_reference,16,67,keygen,1,4,2550101
tensor_reference,16,67,keygen,1,5,2551545
tensor_reference,16,67,keygen,1,6,2556433
tensor_reference,16,67,keygen,1,7,2735590
tensor_reference,16,67,keygen,1,8,2632158
tensor_reference,16,67,keygen,1,9,2563057
tensor_reference,16,67,keygen,1,10,2548872
tensor_reference,16,67,keygen,1,11,2602702
tensor_reference,16,67,keygen,1,12,2636615
tensor_reference,16,67,keygen,1,13,2629852
tensor_reference,16,67,keygen,1,14,2568581
tensor_reference,16,67,keygen,1,15,2560028
tensor_reference,16,67,keygen,1,16,2560863
tensor_reference,16,67,keygen,1,17,2629024
tensor_reference,16,67,keygen,1,18,2657456
tensor_reference,16,67,keygen,1,19,2659783
tensor_reference,16,67,keygen,2,0,2638631
tensor_reference,16,67,keygen,2,1,2646681
tensor_reference,16,67,keygen,2,2,2636604
tensor_reference,16,67,keygen,2,3,2635539
tensor_reference,16,67,keygen,2,4,2598262
tensor_reference,16,67,keygen,2,5,2625840
tensor_reference,16,67,keygen,2,6,2622020
tensor_reference,16,67,keygen,2,7,2586482
tensor_reference,16,67,keygen,2,8,2640991
tensor_reference,16,67,keygen,2,9,2628610
tensor_reference,16,67,keygen,2,10,2653591
tensor_reference,16,67,keygen,2,11,2661299
tensor_reference,16,67,keygen,2,12,2628852
tensor_reference,16,67,keygen,2,13,2646900
tensor_reference,16,67,keygen,2,14,2652642
tensor_reference,16,67,keygen,2,15,2682417
tensor_reference,16,67,keygen,2,16,2746957
tensor_reference,16,67,keygen,2,17,2739575
tensor_reference,16,67,keygen,2,18,2826240
tensor_reference,16,67,keygen,2,19,2731752
tensor_reference,16,67,sign,0,0,32059
tensor_reference,16,67,sign,0,1,31774
tensor_reference,16,67,sign,0,2,32024
tensor_reference,16,67,sign,0,3,31815
tensor_reference,16,67,sign,0,4,31777
tensor_reference,16,67,sign,0,5,31607
tensor_reference,16,67,sign,0,6,33526
tensor_reference,16,67,sign,0,7,31888
tensor_reference,16,67,sign,0,8,31656
tensor_reference,16,67,sign,0,9,31718
tensor_reference,16,67,sign,0,10,31641
tensor_reference,16,67,sign,0,11,31794
tensor_reference,16,67,sign,0,12,31766
tensor_reference,16,67,sign,0,13,31741
tensor_reference,16,67,sign,0,14,33473
tensor_reference,16,67,sign,0,15,31647
tensor_reference,16,67,sign,0,16,31735
tensor_reference,16,67,sign,0,17,31783
tensor_reference,16,67,sign,0,18,31579
tensor_reference,16,67,sign,0,19,31613
tensor_reference,16,67,sign,0,20,31779
tensor_reference,16,67,sign,0,21,31710
tensor_reference,16,67,sign,0,22,33350
tensor_reference,16,67,sign,0,23,31679
tensor_reference,16,67,sign,0,24,31773
tensor_reference,16,67,sign,0,25,33816
tensor_reference,16,67,sign,0,26,31691
tensor_reference,16,67,sign,0,27,31676
tensor_reference,16,67,sign,0,28,31714
tensor_reference,16,67,sign,0,29,31811
tensor_reference,16,67,sign,0,30,33417
tensor_reference,16,67,sign,0,31,31779
tensor_reference,16,67,sign,0,32,31679
tensor_reference,16,67,sign,0,33,31635
tensor_reference,16,67,sign,0,34,31763
tensor_reference,16,67,sign,0,35,31737
tensor_reference,16,67,sign,0,36,31790
tensor_reference,16,67,sign,0,37,31717
tensor_reference,16,67,sign,0,38,33361
tensor_reference,16,67,sign,0,39,31714
tensor_reference,16,67,sign,1,0,31581
tensor_reference,16,67,sign,1,1,33515
